house_id,territory_id,living_area,geometry
124505,286,50,"{'type': 'Polygon', 'coordinates': [[[34.1961491, 59.4834692], [34.1961505, 59.4834063], [34.1962893, 59.4834071], [34.1962879, 59.48347], [34.1961491, 59.4834692]]]}"
124508,286,50,"{'type': 'Polygon', 'coordinates': [[[34.1957432, 59.4838904], [34.195733, 59.4838432], [34.195846, 59.4838369], [34.1958561, 59.4838842], [34.1957432, 59.4838904]]]}"
124525,286,50,"{'type': 'Polygon', 'coordinates': [[[34.1967221, 59.4829296], [34.1967217, 59.4828736], [34.1968605, 59.4828734], [34.1968609, 59.4829294], [34.1967221, 59.4829296]]]}"
124562,286,50,"{'type': 'Polygon', 'coordinates': [[[34.1964417, 59.4833087], [34.1964256, 59.4832357], [34.1965563, 59.4832283], [34.1965724, 59.4833012], [34.1964417, 59.4833087]]]}"
124585,286,50,"{'type': 'Polygon', 'coordinates': [[[34.1991619, 59.4863195], [34.199272, 59.4863138], [34.1992822, 59.486364], [34.199172, 59.4863698], [34.1991619, 59.4863195]]]}"
124610,286,50,"{'type': 'Polygon', 'coordinates': [[[34.1957423, 59.4840758], [34.1957415, 59.4840288], [34.1958643, 59.4840283], [34.195865, 59.4840753], [34.1957423, 59.4840758]]]}"
124638,286,50,"{'type': 'Polygon', 'coordinates': [[[34.1963492, 59.4836073], [34.1963355, 59.4836497], [34.1962238, 59.4836404], [34.1962376, 59.4835979], [34.1963492, 59.4836073]]]}"
124647,286,50,"{'type': 'Polygon', 'coordinates': [[[34.1968241, 59.4830873], [34.1968246, 59.4830313], [34.1969633, 59.4830316], [34.1969629, 59.4830877], [34.1968241, 59.4830873]]]}"
124654,286,50,"{'type': 'Polygon', 'coordinates': [[[34.1994681, 59.4861997], [34.1995782, 59.4861939], [34.1995884, 59.4862442], [34.1994782, 59.4862499], [34.1994681, 59.4861997]]]}"
124694,286,50,"{'type': 'Polygon', 'coordinates': [[[34.1992129, 59.486543], [34.1993231, 59.4865373], [34.1993332, 59.4865875], [34.1992231, 59.4865933], [34.1992129, 59.486543]]]}"
124732,286,50,"{'type': 'Polygon', 'coordinates': [[[34.1992522, 59.486772], [34.1992341, 59.4867166], [34.1993322, 59.4867083], [34.1993503, 59.4867638], [34.1992522, 59.486772]]]}"
124777,286,50,"{'type': 'Polygon', 'coordinates': [[[34.1959872, 59.4842248], [34.1960885, 59.4842255], [34.1960868, 59.4842879], [34.1959855, 59.4842872], [34.1959872, 59.4842248]]]}"
124782,286,50,"{'type': 'Polygon', 'coordinates': [[[34.1964847, 59.4837812], [34.196473, 59.4837255], [34.1966111, 59.4837181], [34.1966227, 59.4837738], [34.1964847, 59.4837812]]]}"
124790,286,50,"{'type': 'Polygon', 'coordinates': [[[34.196841, 59.4834445], [34.1968294, 59.4833888], [34.1969674, 59.4833814], [34.1969791, 59.4834371], [34.196841, 59.4834445]]]}"
124797,286,50,"{'type': 'Polygon', 'coordinates': [[[34.1993359, 59.4868845], [34.1993475, 59.4869404], [34.1992485, 59.4869457], [34.1992369, 59.4868898], [34.1993359, 59.4868845]]]}"
124868,286,50,"{'type': 'Polygon', 'coordinates': [[[34.1975583, 59.4828833], [34.1975466, 59.4828276], [34.1976847, 59.4828202], [34.1976963, 59.4828759], [34.1975583, 59.4828833]]]}"
124881,286,50,"{'type': 'Polygon', 'coordinates': [[[34.1996084, 59.4867179], [34.1997186, 59.4867122], [34.1997287, 59.4867624], [34.1996186, 59.4867682], [34.1996084, 59.4867179]]]}"
124912,286,50,"{'type': 'Polygon', 'coordinates': [[[34.1968546, 59.4836965], [34.1968429, 59.4836408], [34.1969809, 59.4836333], [34.1969926, 59.483689], [34.1968546, 59.4836965]]]}"
124925,286,50,"{'type': 'Polygon', 'coordinates': [[[34.1964966, 59.4840723], [34.1964914, 59.4840206], [34.1966466, 59.4840166], [34.1966517, 59.4840683], [34.1964966, 59.4840723]]]}"
